City,orders,customers,sales,profit,avg_order_value,avg_discount,profit_margin,sales_share,profit_share
Kanyakumari,459,50,706764,172217.74,1539.7908496732025,0.2234640522875817,0.24367078685388616,0.04725311563522641,0.04596001324963815
Vellore,435,50,676550,174073.01,1555.287356321839,0.23020689655172413,0.25729511492129187,0.045233055706024115,0.046455132009074064
Bodi,442,50,667177,173655.13,1509.4502262443439,0.22110859728506788,0.26028344802054026,0.044606391850976354,0.04634361173051996
Tirunelveli,446,50,659812,165169.01,1479.3991031390135,0.22901345291479822,0.25032738113280756,0.04411397967852071,0.04407890782929573
Perambalur,434,50,659738,171132.19,1520.1336405529953,0.23417050691244237,0.2593941685941995,0.044109032156353464,0.04567031085090069
Salem,431,50,657093,160899.3,1524.5777262180975,0.22503480278422272,0.2448653386963489,0.04393219166807849,0.04293944375217967
Pudukottai,430,50,653179,164072.63,1519.0209302325582,0.22323255813953488,0.25119091397610765,0.04367050786047613,0.04378631521179513
Tenkasi,432,50,643652,156230.72,1489.9351851851852,0.23087962962962963,0.2427254479128473,0.043033547810647894,0.04169353262445848
Karur,430,50,642273,169305.94,1493.6581395348837,0.2267906976744186,0.2636043240179799,0.04294135006647731,0.045182936703515225
Krishnagiri,440,50,637273,160477.48,1448.3477272727273,0.22738636363636364,0.25181904772366004,0.04260705802815033,0.04282687199976345
Chennai,432,50,634963,160921.33,1469.8217592592594,0.22627314814814814,0.25343418435404896,0.04245261510644326,0.04294532293217524
Coimbatore,428,50,634748,157399.41,1483.056074766355,0.2221261682242991,0.24797149419927278,0.042438240548795206,0.04200542272291593
Ramanadhapuram,421,49,634386,158951.03,1506.855106888361,0.2269121140142518,0.2505588553341341,0.04241403780522033,0.04241950593965309
Cumbum,417,50,626047,156355.13,1501.3117505995203,0.23038369304556355,0.2497498270896594,0.04185650554369859,0.04172673411257688
Madurai,408,50,617836,152548.61,1514.3039215686274,0.2235294117647059,0.246907933496915,0.041307531158358016,0.040710882263429324
Virudhunagar,416,50,606820,150816.69,1458.701923076923,0.2184375,0.24853612273820902,0.04057101893951601,0.04024868210828089
Ooty,404,50,599292,150078.92,1483.3960396039604,0.2247029702970297,0.25042703723727333,0.0400677088466109,0.04005179229324102
Namakkal,403,50,598530,145502.1,1485.1861042183623,0.22823821339950373,0.2430990927773044,0.04001676273996987,0.038830369297902616
Viluppuram,397,50,581274,144200.64,1464.1662468513855,0.22788413098236776,0.2480768794062697,0.03886305405729578,0.038483046665264
Theni,387,50,579553,142739.78,1497.5529715762275,0.23142118863049096,0.24629288434362345,0.03874799073770364,0.03809318470937102
Dindigul,396,50,575631,144872.95,1453.6136363636363,0.22113636363636366,0.25167676862434446,0.03848577206283995,0.0386624670693865
Dharmapuri,376,50,571553,141593.05,1520.087765957447,0.22888297872340427,0.2477338934447024,0.038213123476380464,0.03778715510990144
Nagercoil,373,50,551435,137848.47,1478.378016085791,0.2293833780160858,0.24998135773028554,0.03686806603096801,0.036787833283855355
Trichy,357,50,541403,136059.94,1516.5350140056023,0.23484593837535014,0.2513099114707528,0.036197342485268756,0.03631052553090624
