Category,Sub Category,orders,customers,sales,profit,avg_order_value,avg_discount,profit_margin,sales_share,profit_share
Beverages,Health Drinks,719,50,1051439,267469.79,1462.3630041724618,0.23155771905424202,0.25438450542542174,0.07029753729729701,0.07138007438884014
Beverages,Soft Drinks,681,50,1033874,258135.97,1518.1703377386198,0.2290308370044053,0.24967836506189342,0.06912316936665432,0.06888914348433671
Snacks,Cookies,520,50,768213,190643.7,1477.3326923076922,0.21869230769230769,0.24816515731964964,0.05136149792785737,0.05087737754519389
Bakery,Breads & Buns,502,50,742586,190764.98,1479.2549800796812,0.22649402390438247,0.25689277740221333,0.04964811751461625,0.05090974372539644
Snacks,Noodles,495,50,735435,193685.81,1485.7272727272727,0.22193939393939394,0.2633622413945488,0.049170013041401,0.051689230121513004
Snacks,Chocolates,499,50,733898,183849.34,1470.7374749498997,0.22565130260521044,0.2505107521753704,0.049067251668819284,0.04906415623812754
Oil & Masala,Masalas,463,50,697480,168999.11,1506.4362850971922,0.223866090712743,0.2422995784825371,0.04663240217846087,0.045101052509323676
Bakery,Cakes,452,50,685612,168398.46,1516.8407079646017,0.22464601769911505,0.2456177254773837,0.04583892659628794,0.04494075611965793
Bakery,Biscuits,459,50,684083,169357.62,1490.3769063180828,0.2250326797385621,0.24756881840361475,0.04573670009096755,0.04519672862463055
Oil & Masala,Spices,447,50,672876,160302.6,1505.3154362416108,0.22017897091722596,0.23823497940185118,0.04498741791626145,0.042780201505091424
Oil & Masala,Edible Oil & Ghee,451,50,668086,168593.58,1481.3436807095343,0.22951219512195123,0.2523531102283239,0.0446671661435442,0.0449928280942714
"Eggs, Meat & Fish",Mutton,394,50,611200,151389.4,1551.2690355329948,0.22624365482233502,0.24769208115183244,0.040863858765090445,0.04040152210715788
"Eggs, Meat & Fish",Eggs,379,50,575156,144669.92,1517.5620052770448,0.22609498680738785,0.2515316192476476,0.038454014319198884,0.038608284140902616
"Eggs, Meat & Fish",Fish,369,50,560548,147248.01,1519.10027100271,0.23013550135501357,0.26268581816365416,0.03747734670002277,0.03929630298587619
Food Grains,Organic Staples,372,50,558929,144136.89,1502.497311827957,0.23123655913978494,0.2578805000277316,0.037369102938012495,0.03846603360467764
Fruits & Veggies,Fresh Fruits,369,49,551212,134668.35,1493.79945799458,0.22672086720867207,0.24431316807326403,0.03685315660605863,0.035939149766492734
Food Grains,Atta & Flour,353,50,534649,127861.1,1514.586402266289,0.22787535410764873,0.23914961030507867,0.03574578079989666,0.03412248848529372
Fruits & Veggies,Fresh Vegetables,354,49,525842,131273.33,1485.4293785310736,0.22966101694915253,0.24964405657973304,0.03515695880358752,0.035033115555482955
Food Grains,Dals & Pulses,343,50,523371,130232.29,1525.8629737609328,0.22597667638483968,0.2488335998746587,0.03499175167824632,0.034755291608929
"Eggs, Meat & Fish",Chicken,348,50,520497,124049.89,1495.6810344827586,0.22890804597701148,0.23832969258228193,0.03479960061461597,0.033105385008630084
Fruits & Veggies,Organic Vegetables,347,50,520271,133596.37,1499.3400576368877,0.2344956772334294,0.256782273084604,0.03478449061448359,0.0356530688145342
Fruits & Veggies,Organic Fruits,348,50,503402,130862.33,1446.557471264368,0.2264655172413793,0.2599559199208585,0.033656656135576016,0.03492343135311449
Food Grains,Rice,330,49,498323,126932.36,1510.069696969697,0.22890909090909092,0.2547190476859386,0.03331708228304346,0.0338746342125256
